source,indicator,sex,age,domain
tuik_press,TFR,T,_T,Fertility
tuik_press,CBR,T,_T,Fertility
tuik_press,ADOLESCENT_FERTILITY_RATE,T,_T,Fertility
tuik_press,MEAN_AGE_CHILDBEARING,T,_T,Fertility
tuik_press,MEAN_AGE_FIRST_BIRTH,T,_T,Fertility
eurostat,TFR,T,_T,Fertility
tuik_press,CDR,T,_T,Mortality
tuik_press,INFANT_MORTALITY_RATE,T,_T,Mortality
tuik_press,UNDER5_MORTALITY_RATE,T,_T,Mortality
eurostat,INFANT_MORTALITY_RATE,T,_T,Mortality
eurostat,LIFE_EXPECTANCY_BIRTH,T,Y_LT1,Mortality
eurostat,LIFE_EXPECTANCY_BIRTH,M,Y_LT1,Mortality
eurostat,LIFE_EXPECTANCY_BIRTH,F,Y_LT1,Mortality
tuik_press,INTERNAL_MIGRATION_RATE,T,_T,Migration
tuik_press,IMMIGRANTS,T,_T,Migration
tuik_press,EMIGRANTS,T,_T,Migration
tuik_press,TOTAL_POPULATION,T,_T,Population
eurostat,POP_JAN1,T,_T,Population
tuik_press,CRUDE_MARRIAGE_RATE,T,_T,Nuptiality
tuik_press,CRUDE_DIVORCE_RATE,T,_T,Nuptiality
tuik_press,MEAN_AGE_FIRST_MARRIAGE,M,_T,Nuptiality
tuik_press,MEAN_AGE_FIRST_MARRIAGE,F,_T,Nuptiality
